學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
0001,國立政治大學,01111001,教育學系,D 日,D 博士,115,51,64,3,14,7,14,8,14,8,10,11,5,7,4,7,3,-,-,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,M 碩士,41,12,29,2,6,6,11,1,8,3,4,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,B 學士,231,70,161,21,34,10,37,14,40,18,33,-,-,-,-,-,-,7,17,30 臺北市,1 一般
0001,國立政治大學,01114005,教育行政與政策研究所,D 日,M 碩士,42,18,24,5,7,7,12,5,3,1,2,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,01114006,學校行政碩士在職專班,N 職,M 碩士,81,20,61,5,18,5,17,3,15,2,6,5,5,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,01121004,幼兒教育研究所,D 日,M 碩士,33,2,31,-,14,1,10,-,3,1,4,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,D 博士,32,18,14,3,3,2,1,1,2,4,2,4,3,2,3,2,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,M 碩士,30,15,15,5,5,-,5,8,4,2,1,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,D 博士,28,18,10,3,-,1,3,5,1,2,2,1,1,2,1,4,2,-,-,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,M 碩士,64,50,14,11,4,11,5,14,1,14,4,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,B 學士,158,99,59,29,19,19,19,19,8,22,9,-,-,-,-,-,-,10,4,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,D 博士,21,12,9,1,1,2,-,2,2,2,1,1,2,2,1,2,2,-,-,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,M 碩士,57,38,19,11,2,8,3,8,6,11,8,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,D 博士,22,13,9,2,-,4,2,1,2,-,-,1,3,3,2,2,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,M 碩士,25,10,15,4,3,4,3,1,5,1,4,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,B 學士,171,73,98,18,26,19,19,15,20,15,29,-,-,-,-,-,-,6,4,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,D 博士,26,20,6,2,2,4,-,2,-,3,1,1,2,4,-,4,1,-,-,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,M 碩士,48,23,25,7,4,5,8,5,8,6,5,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,B 學士,183,95,88,30,27,19,20,14,14,18,15,-,-,-,-,-,-,14,12,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,D 博士,26,8,18,1,4,1,2,1,3,-,3,1,1,2,2,2,3,-,-,30 臺北市,1 一般
