學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
0001,國立政治大學,01111001,教育學系,D 日,D 博士,113,50,63,12,8,4,13,6,15,6,15,10,6,5,5,7,1,-,-,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,M 碩士,28,9,19,4,10,3,5,1,2,1,2,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,B 學士,225,72,153,21,30,20,29,12,38,15,40,-,-,-,-,-,-,4,16,30 臺北市,1 一般
0001,國立政治大學,01114005,教育行政與政策研究所,D 日,M 碩士,45,15,30,5,11,5,7,4,8,1,4,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,01114006,學校行政碩士在職專班,N 職,M 碩士,80,25,55,9,13,4,16,6,17,2,5,4,4,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,01121004,幼兒教育研究所,D 日,M 碩士,39,3,36,3,15,-,11,-,8,-,2,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,D 博士,27,13,14,4,1,3,2,2,1,-,2,2,2,1,3,1,3,-,-,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,M 碩士,31,10,21,2,5,4,5,-,5,4,6,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,D 博士,26,14,12,2,1,3,-,1,3,5,2,1,2,1,2,1,2,-,-,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,M 碩士,64,49,15,12,3,12,5,8,4,17,3,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,B 學士,160,97,63,29,17,22,16,17,18,18,9,-,-,-,-,-,-,11,3,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,D 博士,19,10,9,2,1,1,1,1,-,2,2,2,1,1,2,1,2,-,-,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,M 碩士,55,38,17,11,5,10,2,8,4,9,6,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,D 博士,15,8,7,1,1,-,-,4,1,1,2,-,-,1,2,1,1,-,-,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,M 碩士,25,13,12,4,4,4,3,4,3,1,2,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,B 學士,178,68,110,15,34,13,23,20,19,13,21,-,-,-,-,-,-,7,13,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,D 博士,21,14,7,1,1,2,2,3,-,2,-,2,1,1,2,3,1,-,-,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,M 碩士,44,31,13,14,-,6,4,4,5,7,4,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,B 學士,179,92,87,24,27,26,21,17,17,15,14,-,-,-,-,-,-,10,8,30 臺北市,1 一般
